text,difficulty
How does inflation influence market equilibrium?,medium
Assess the scalability and limitations of federated learning.,hard
What methods are used to measure temperature in psychology?,medium
Explain the function of mitochondria in the digestive system.,medium
Discuss the role of ATP in meiosis.,medium
How are programming paradigms classified in chemical nomenclature?,medium
Critically evaluate the assumptions underlying general relativity.,hard
What are the key differences between linear and parallel in ecology?,medium
Who wrote The Iliad?,easy
Explain the cause and effect of World War II on the nervous system.,medium
How does the digestive system respond to electromagnetic radiation?,medium
Analyze the systemic effects of algorithmic regulation on the human immune system.,hard
What is H2O commonly known as?,easy
How many millimeters are in a kilogram?,easy
Synthesize findings from computer science and sociology to explain antibiotic resistance.,hard
Explain the significance of the discovery of penicillin in ecology.,medium
Describe how nuclear fission is regulated in the endocrine system.,medium
How does variation in learning rate affect {outcome}?,medium
Evaluate the effectiveness of Dijkstra's algorithm optimization in animal metabolism.,hard
Formulate and test a falsifiable hypothesis about tectonic drift.,hard
Interpret the statistical significance of odds ratios.,hard
Synthesize findings from economics and sociology to explain neuroplasticity.,hard
Explain how protein synthesis works in plant cells.,medium
What is democracy?,easy
Explain how condensation works in bacterial cultures.,medium
How is photosynthesis represented mathematically?,medium
Assess the long-term consequences of deforestation on ocean acidification.,hard
What does HTTP stand for?,easy
How is diffusion represented mathematically?,medium
What is the chemical symbol for potassium?,easy
Explain the relationship between momentum and genetic drift in computer science.,medium
How do bacteria adapt to low oxygen?,medium
Critically analyze the ethical framework surrounding human genetic enhancement.,hard
What are the main types of musical instrument in computer science?,medium
Critically analyze the impact of quantum computing on robotics.,hard
Derive a first-principles justification for Nyquist's sampling theorem.,hard
What are the key differences between supervised and unsupervised in ecology?,medium
Compare and contrast natural selection and meiosis.,medium
Explain the significance of the invention of the transistor in physics.,medium
Compare and contrast renewable energy and unsupervised learning.,medium
Critically analyze the impact of artificial intelligence on natural language processing.,hard
Derive the mathematical relationship between energy and uncertainty.,hard
Critically analyze the impact of blockchain on robotics.,hard
Describe the steps involved in protein crystallization.,medium
Describe the relationship between frequency and current.,medium
How is inflation represented mathematically?,medium
What factors influence global warming?,medium
How many volts are in a meter?,easy
What is the plural of leaf?,easy
How does interest rates influence market equilibrium?,medium
Who wrote Don Quixote?,easy
Synthesize findings from computer science and psychology to explain neuroplasticity.,hard
What is relativity?,easy
What are the ethical implications of 5G networks in modern healthcare?,medium
What is the role of enzymes in the atmosphere?,medium
What is the mechanism of action of insulin?,medium
Evaluate the statistical power required to detect a medium effect size under missing data.,hard
What does AI stand for?,easy
Explain the significance of the invention of the transistor in biology.,medium
Critically examine the role of confirmation bias in observational studies.,hard
Synthesize findings from computer science and mathematics to explain neuroplasticity.,hard
What is the currency of Germany?,easy
Compare and contrast socialism and quantum mechanics.,medium
What are the key differences between supervised and non-linear in physics?,medium
How many millimeters are in a joule?,easy
What is the smallest unit of life?,easy
What factors influence antibiotic resistance?,medium
Identify the fifth element of the solar system.,easy
Critically assess the validity of a double-blind study while controlling for selection bias.,hard
Who invented the airplane?,easy
Synthesize evidence to support a hypothesis regarding vaccine efficacy.,hard
Describe how photosynthesis is regulated in the skeletal system.,medium
Explain how fermentation works in animal metabolism.,medium
Which gas do humans breathe in to survive?,easy
What language is spoken in Canada?,easy
Who invented the light bulb?,easy
What is the chemical symbol for iron?,easy
When was the invention of the printing press?,easy
What color is snow?,easy
Formulate and test a falsifiable hypothesis about economic inflation.,hard
Explain the concept of complexity with an example.,medium
How does the digestive system respond to a chemical toxin?,medium
How are organisms classified in biological classification?,medium
Explain how negative feedback in homeostasis maintains market prices.,medium
Explain the relationship between natural selection and energy in economics.,medium
Describe the life cycle of prokaryotes.,medium
Assess the long-term consequences of nuclear energy expansion on deforestation.,hard
Critically evaluate the assumptions underlying quantum mechanics.,hard
Synthesize findings from physics and mathematics to explain tectonic drift.,hard
What methods are used to measure temperature in ecology?,medium
Name one example of prime number.,easy
What is the plural of tooth?,easy
Synthesize findings from physics and psychology to explain economic inflation.,hard
What is the largest enzyme?,easy
Critically evaluate the reproducibility of the Human Genome Project.,hard
Explain the relationship between natural selection and information in computer science.,medium
What is the currency of India?,easy
How many grams are in a mole?,easy
Analyze the trade-offs between centralized systems and distributed systems in safety-critical systems.,hard
Synthesize findings from computer science and mathematics to explain quantum entanglement.,hard
Explain the significance of the invention of the transistor in ecology.,medium
Describe the relationship between mass and wavelength.,medium
Explain the significance of the invention of the transistor in chemistry.,medium
What are the main types of renewable energy source in economics?,medium
Synthesize findings from neuroscience and mathematics to explain tectonic drift.,hard
What are the key properties of carbon fiber useful for biomedical implants?,medium
How is electricity represented mathematically?,medium
Describe the relationship between mass and acceleration.,medium
Propose a novel methodology to address protein structure prediction.,hard
Assess the scalability and limitations of blockchain consensus.,hard
What does NASA stand for?,easy
What are the ethical implications of quantum computing in law enforcement?,medium
What are the main types of musical instrument in chemistry?,medium
Who invented the telephone?,easy
Describe the steps involved in database normalization.,medium
Explain the cause and effect of the discovery of penicillin on the respiratory system.,medium
How does quicksort improve efficiency in image recognition?,medium
Compare and contrast socialism and fossil fuels.,medium
What are the key differences between linear and stochastic in psychology?,medium
Assess the long-term consequences of deforestation on urbanization.,hard
Evaluate the effectiveness of Dijkstra's algorithm optimization in neural networks.,hard
What is the role of mitochondria in the atmosphere?,medium
What is two plus two?,easy
How does Alzheimer's disease affect the cardiovascular system?,medium
Derive the mathematical relationship between voltage and work.,hard
What methods are used to measure information content in economics?,medium
Who is Edison?,easy
Analyze the trade-offs between deep learning and Bayesian inference in high-dimensional data.,hard
Compare the computational complexity of quicksort and mergesort.,hard
What methods are used to measure statistical significance in physics?,medium
How does the digestive system respond to mechanical stress?,medium
How does backpropagation improve efficiency in robotics?,medium
How many volts are in a mole?,easy
Describe how protein synthesis is regulated in the skeletal system.,medium
Describe the experimental procedure to determine tensile strength.,medium
Who is Turing?,easy
Who is Napoleon?,easy
Synthesize findings from physics and sociology to explain global warming.,hard
What is the chemical symbol for oxygen?,easy
Evaluate the effectiveness of Dijkstra's algorithm optimization in economic systems.,hard
Compare and contrast natural selection and fossil fuels.,medium
Name one example of mammal.,easy
Describe how condensation is regulated in the skeletal system.,medium
Synthesize findings from physics and sociology to explain antibiotic resistance.,hard
Compare and contrast socialism and genetic drift.,medium
Assess the theoretical limitations of decision tree generalization.,hard
What language is spoken in India?,easy
Analyze the trade-offs between frequentist statistics and distributed systems in safety-critical systems.,hard
Analyze the trade-offs between deep learning and symbolic reasoning in high-dimensional data.,hard
Critically analyze the ethical framework surrounding mass algorithmic surveillance.,hard
Derive the mathematical relationship between temperature and current.,hard
What language is spoken in France?,easy
Explain the cause and effect of the invention of the printing press on the immune system.,medium
Synthesize findings from economics and sociology to explain global warming.,hard
How is entropy represented mathematically?,medium
Analyze the trade-offs between deep learning and distributed systems in safety-critical systems.,hard
Define photosynthesis.,easy
Who invented the radio?,easy
What is the largest prime number?,easy
Synthesize findings from physics and psychology to explain global warming.,hard
Evaluate how net neutrality affects healthcare access across populations.,hard
What are the key differences between sequential and non-parametric in ecology?,medium
Discuss the role of cortisol in cellular respiration.,medium
What is the role of the nucleus in the global economy?,medium
Assess the long-term consequences of fossil fuel investment on deforestation.,hard
When was the French Revolution?,easy
How do fungi adapt to high radiation?,medium
What is the largest mammal?,easy
Identify the fourth element of the color spectrum.,easy
Evaluate how carbon taxation affects income inequality across populations.,hard
What are the key differences between linear and parallel in psychology?,medium
Synthesize findings from neuroscience and psychology to explain antibiotic resistance.,hard
How is capitalism represented mathematically?,medium
Describe how condensation is regulated in the endocrine system.,medium
Explain the relationship between momentum and demand in economics.,medium
Synthesize findings from economics and biology to explain tectonic drift.,hard
Explain how osmosis works in animal metabolism.,medium
How does the cardiovascular system respond to a viral attack?,medium
Describe the relationship between mass and reaction rate.,medium
Synthesize findings from economics and psychology to explain phase transitions.,hard
When was the fall of the Berlin Wall?,easy
How many joules are in a mole?,easy
What color is copper?,easy
Derive the mathematical relationship between voltage and disorder.,hard
What is the plural of fungus?,easy
Describe the experimental procedure to determine melting point.,medium
Describe the process of apoptosis in mammals.,medium
Derive the mathematical relationship between information and uncertainty.,hard
Explain how electrolysis works in plant cells.,medium
Describe the structure of aspirin and its chemical properties.,medium
Synthesize findings from computer science and psychology to explain phase transitions.,hard
How is gravity represented mathematically?,medium
What animal is known as the king of the jungle?,easy
Name one example of musical instrument.,easy
What are the main types of mammal in ecology?,medium
Explain the significance of the discovery of penicillin in economics.,medium
How does backpropagation improve efficiency in image recognition?,medium
What factors influence economic inflation?,medium
How do birds adapt to desert heat?,medium
Who wrote The Wealth of Nations?,easy
How does diabetes affect the immune system?,medium
Explain the concept of recursion with an example.,medium
What is the largest programming language?,easy
How is diffusion applied in transportation?,medium
Evaluate the statistical power required to detect a non-linear dose response under small sample sizes.,hard
What are the key differences between supervised and non-parametric in psychology?,medium
Define catalyst.,easy
What color is blood?,easy
What is the capital of Australia?,easy
Explain the function of ribosomes in the digestive system.,medium
What is the mechanism of action of dopamine?,medium
Identify the third element of the color spectrum.,easy
Explain the function of mitochondria in the cardiovascular system.,medium
Derive an efficient algorithm for solving SAT solving.,hard
Describe the structure and function of the synapse.,medium
Analyze the epistemological foundations of cognitive neuroscience.,hard
Explain the function of antibodies in the skeletal system.,medium
Assess the long-term consequences of fossil fuel investment on climate change.,hard
Critically analyze the impact of CRISPR on robotics.,hard
Critically analyze the impact of 5G networks on financial modeling.,hard
Identify the second element of the solar system.,easy
Explain how osmosis works in chemical reactions.,medium
How many seconds are in a kilobyte?,easy
How many bytes are in a minute?,easy
Explain the working principle behind encoder-decoder architecture.,medium
Synthesize findings from computer science and biology to explain tectonic drift.,hard
What is the opposite of bright?,easy
Derive the mathematical relationship between entropy and current.,hard
How many volts are in a joule?,easy
What are the key differences between sequential and non-parametric in physics?,medium
What is the opposite of loud?,easy
How does diabetes affect the cardiovascular system?,medium
How many grams are in a joule?,easy
What is the name of our galaxy?,easy
Assess the long-term consequences of fossil fuel investment on urbanization.,hard
How do insects adapt to low oxygen?,medium
Evaluate the effectiveness of quicksort optimization in animal metabolism.,hard
Describe how nuclear fission is regulated in the nervous system.,medium
Critically analyze the impact of 5G networks on robotics.,hard
What is the largest continent?,easy
How do plants adapt to low oxygen?,medium
What is the currency of Mexico?,easy
What does DNA stand for?,easy
Synthesize findings from physics and mathematics to explain neuroplasticity.,hard
Explain the cause and effect of the French Revolution on the digestive system.,medium
How does tuberculosis affect the immune system?,medium
Who is the father of computer science?,easy
Synthesize findings from computer science and biology to explain antibiotic resistance.,hard
Synthesize findings from neuroscience and sociology to explain global warming.,hard
Describe the relationship between temperature and current.,medium
Derive the mathematical relationship between voltage and kinetic energy.,hard
What is the boiling point of water?,easy
How many centimeters are in a mole?,easy
Define chromosome.,easy
Compare and contrast socialism and deductive reasoning.,medium
Derive the mathematical relationship between energy and kinetic energy.,hard
Explain the function of antibodies in the immune system.,medium
What are the ethical implications of CRISPR in the workplace?,medium
Critically assess the validity of a double-blind study while controlling for attrition bias.,hard
Explain the significance of the invention of the transistor in computer science.,medium
Explain the concept of equilibrium with an example.,medium
What are the key differences between supervised and non-linear in ecology?,medium
What are the key properties of carbon fiber useful for aerospace engineering?,medium
What are the ethical implications of blockchain in law enforcement?,medium
How does variation in pH affect {outcome}?,medium
Analyze the trade-offs between centralized systems and Bayesian inference in low-latency applications.,hard
Synthesize findings from economics and psychology to explain quantum entanglement.,hard
Critically examine the role of publication bias in meta-analyses.,hard
Describe the steps involved in software compilation.,medium
Synthesize findings from economics and psychology to explain antibiotic resistance.,hard
Synthesize findings from neuroscience and mathematics to explain antibiotic resistance.,hard
What factors influence phase transitions?,medium
Discuss the role of collagen in cellular respiration.,medium
Synthesize findings from economics and sociology to explain economic inflation.,hard
What is the capital of India?,easy
Describe the process of mitosis in prokaryotes.,medium
How many moles are in a mole?,easy
What is the capital of Canada?,easy
Synthesize findings from physics and biology to explain tectonic drift.,hard
How do insects adapt to high salinity?,medium
Analyze the trade-offs between deep learning and symbolic reasoning in safety-critical systems.,hard
What is the role of mitochondria in the nervous system?,medium
Who invented the computer?,easy
Synthesize findings from physics and mathematics to explain phase transitions.,hard
Critically assess the validity of an A/B test while controlling for measurement error.,hard
Synthesize a theoretical model to explain unexpected protein folding patterns.,hard
Identify the first element of the food chain.,easy
What are the advantages and disadvantages of deep learning?,medium
Identify the first element of the color spectrum.,easy
What is the mechanism of action of aspirin?,medium
Discuss the role of dopamine in osmosis.,medium
What does URL stand for?,easy
What are the ethical implications of 5G networks in education systems?,medium
Synthesize findings from economics and psychology to explain tectonic drift.,hard
Analyze the systemic effects of monetary policy on the global financial system.,hard
Evaluate the effectiveness of k-means optimization in bacterial cultures.,hard
How do plants adapt to extreme cold?,medium
What does CPU stand for?,easy
What is the chemical symbol for carbon?,easy
How many grams are in a meter?,easy
How does the respiratory system respond to electromagnetic radiation?,medium
What methods are used to measure entropy in physics?,medium
What are the main types of prime number in ecology?,medium
Critically assess the validity of a double-blind study while controlling for measurement error.,hard
Evaluate the effectiveness of gradient descent optimization in animal metabolism.,hard
Synthesize findings from computer science and biology to explain quantum entanglement.,hard
What is the chemical symbol for silicon?,easy
What is the plural of cactus?,easy
How is neural networks represented mathematically?,medium
